BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Weichert, Realtors - Larchmont","House for sale",499000,2,1146,"4302 Boyd Ave","Bronx, NY 10466","4302 Boyd Ave, Bronx, NY 10466","United States","New York","Bronx County","The Bronx","Boyd Avenue","4302 Boyd Ave, Bronx, NY 10466, USA",40.8955154,-73.8510754
"Brokered by RE MAX Edge","Co-op for sale",349000,1,800,"3235 Emmons Ave Apt 625","Brooklyn, NY 11235","3235 Emmons Ave Apt 625, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",3235,"3235 Emmons Ave Apt 625, Brooklyn, NY 11235, USA",40.5844399,-73.9316116
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",14750000,6,8790,"7 E 69th St","New York, NY 10021","7 E 69th St, New York, NY 10021","United States","New York","New York County","New York","East 69th Street","7 E 69th St, New York, NY 10021, USA",40.7703119,-73.967354
"Brokered by Nest Seekers International, Midtown","Condo for sale",12500000,4,3550,"100 Vandam St Apt 6A","New York, NY 10013","100 Vandam St Apt 6A, New York, NY 10013","New York","New York County","New York",Manhattan,100,"100 Vandam St #6a, New York, NY 10013, USA",40.7266327,-74.0088321
"Brokered by Ilite Realty Inc","Condo for sale",370000,1,462,"1657 E 19th St Apt 8B","Brooklyn, NY 11229","1657 E 19th St Apt 8B, Brooklyn, NY 11229","New York","Kings County",Brooklyn,Homecrest,1657,"1657 E 19th St #8b, Brooklyn, NY 11229, USA",40.6096365,-73.9544149
"Brokered by COMPASS","Co-op for sale",600000,1,715,"545 W 111th St Apt 2H","Manhattan, NY 10025","545 W 111th St Apt 2H, Manhattan, NY 10025","New York","New York County","New York",Manhattan,545,"545 W 111th St #2b, New York, NY 10025, USA",40.8043692,-73.964408
"Brokered by Corcoran Park Avenue South","Condo for sale",1950000,2,1000,"200 E 89th St Apt 42B","New York, NY 10128","200 E 89th St Apt 42B, New York, NY 10128","New York","New York County","New York",Manhattan,200,"200 E 89th St APT 42B, New York, NY 10128, USA",40.7805098,-73.9523992
"Brokered by Douglas Elliman - 575 Madison Ave","Co-op for sale",2000000,2,1800,"239 E 79th St Apt 8F","New York, NY 10075","239 E 79th St Apt 8F, New York, NY 10075","New York","New York County","New York",Manhattan,239,"239 E 79th St #8f, New York, NY 10075, USA",40.7737882,-73.9551436
"Brokered by BESMATCH REAL ESTATE","Co-op for sale",329999,1,950,"880 Boynton Ave Apt 18F","Bronx, NY 10473","880 Boynton Ave Apt 18F, Bronx, NY 10473","New York","Bronx County","The Bronx","East Bronx",880,"880 Boynton Ave #18f, Bronx, NY 10473, USA",40.8214206,-73.8759785
"Brokered by Brown Harris Stevens Forest Hills LLC","Co-op for sale",390000,1,1100,"112-50 78th Ave Unit 2J","Queens, NY 11375","112-50 78th Ave Unit 2J, Queens, NY 11375","United States","New York","Queens County",Queens,"78th Avenue","112-50 78th Ave, Forest Hills, NY 11375, USA",40.7155654,-73.8311146
"Brokered by Bo's Prime Realty","Co-op for sale",239000,1,700,"150 W End Ave Apt 1J","Brooklyn, NY 11235","150 W End Ave Apt 1J, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Manhattan Beach",150,"150 West End Ave #1j, Brooklyn, NY 11235, USA",40.5782536,-73.9534785
"Brokered by Signature Premier Properties","Multi-family home for sale",1188888,2,2203,"132-14 Horace Harding Expy","Flushing, NY 11367","132-14 Horace Harding Expy, Flushing, NY 11367","United States","New York","Queens County",Queens,"Horace Harding Expressway","132-14 Horace Harding Expy, Flushing, NY 11367, USA",40.7427492,-73.8333091
"Brokered by COMPASS","Condo for sale",18500000,4,4856,"73 Wooster St # A","Manhattan, NY 10012","73 Wooster St # A, Manhattan, NY 10012","United States","New York","New York County","New York","Wooster Street","73 Wooster St, New York, NY 10012, USA",40.7238868,-74.0021541
"Brokered by Mjr Real Estate Llc","Co-op for sale",567000,2,2188,"97-37 63 Rd Unit 3E","Rego Park, NY 11374","97-37 63 Rd Unit 3E, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",97-37,"97-37 63rd Rd #3e, Rego Park, NY 11374, USA",40.7318958,-73.8599645
"Brokered by COMPASS","Condo for sale",8900000,5,4297,"200 W End Ave","Manhattan, NY 10023","200 W End Ave, Manhattan, NY 10023","United States","New York","New York County","New York","West End Avenue","200 West End Ave, New York, NY 10023, USA",40.7779612,-73.9854593
"Brokered by Keller Williams Rlty Landmark","House for sale",985000,2,2177,"82-61 172nd St","Jamaica, NY 11432","82-61 172nd St, Jamaica, NY 11432","United States","New York","Queens County",Queens,"172nd Street","82-61 172nd St, Jamaica, NY 11432, USA",40.7181351,-73.7934614
"Brokered by COMPASS","Co-op for sale",839000,2,1120,"447 Fort Washington Ave Apt 44","Manhattan, NY 10033","447 Fort Washington Ave Apt 44, Manhattan, NY 10033","New York","New York County","New York",Manhattan,447,"447 Fort Washington Ave Apt 44, New York, NY 10033, USA",40.8501059,-73.9387857
"Brokered by Corcoran East Side","Co-op for sale",995000,2,2179,"455 E 51st St # 4F","New York, NY 10022","455 E 51st St # 4F, New York, NY 10022","New York","New York County","New York",Manhattan,455,"455 E 51st St #4f, New York, NY 10022, USA",40.7540096,-73.9637466
"Brokered by Erealty Advisors, Inc","Condo for sale",1439000,2,1625,"800 Bedford Ave Unit 4","Brooklyn, NY 11205","800 Bedford Ave Unit 4, Brooklyn, NY 11205","New York","Kings County",Brooklyn,Bedford-Stuyvesant,800,"800 Bedford Ave APT 4A, Brooklyn, NY 11205, USA",40.6972584,-73.9569997
"Brokered by Erealty Advisors, Inc","Condo for sale",1439000,2,1625,"800 Bedford Ave Unit 4","Brooklyn, NY 11205","800 Bedford Ave Unit 4, Brooklyn, NY 11205","New York","Kings County",Brooklyn,Bedford-Stuyvesant,800,"800 Bedford Ave APT 4A, Brooklyn, NY 11205, USA",40.6972584,-73.9569997
"Brokered by Werba Realty Llc","Multi-family home for sale",1245000,2,1800,"64-56 Woodbine St","Ridgewood, NY 11385","64-56 Woodbine St, Ridgewood, NY 11385","United States","New York","Queens County",Queens,"Woodbine Street","64-56 Woodbine St, Ridgewood, NY 11385, USA",40.7085881,-73.8934355
"Brokered by COMPASS","Townhouse for sale",1995000,4,2179,"1069 Lincoln Pl","Brooklyn, NY 11213","1069 Lincoln Pl, Brooklyn, NY 11213","United States","New York","Kings County",Brooklyn,"Lincoln Place","1069 Lincoln Pl, Brooklyn, NY 11213, USA",40.670429,-73.9411141
"Brokered by OneSpace Realty Group LLC","Multi-family home for sale",365000,3,1600,"148 Brighton Ave","Staten Island, NY 10301","148 Brighton Ave, Staten Island, NY 10301","United States","New York","Richmond County","Staten Island","Brighton Avenue","148 Brighton Ave, Staten Island, NY 10301, USA",40.6352888,-74.090616
"Brokered by Corcoran Long Island City","Condo for sale",950000,2,1025,"1215 Broadway Apt 320","Queens, NY 11106","1215 Broadway Apt 320, Queens, NY 11106","United States","New York","Queens County",Queens,Broadway,"12-15 Broadway, Long Island City, NY 11106, USA",40.7669131,-73.9342893
"Brokered by Corcoran Chelsea/Flatiron","House for sale",4195000,6,2165,"9 Clinton St","New York, NY 10002","9 Clinton St, New York, NY 10002","United States","New York","New York County","New York","Clinton Street","9 Clinton St, New York, NY 10002, USA",40.7210845,-73.9842397
"Brokered by John Edwards Real Estate, Inc.","Condo for sale",209000,1,658,"1594 Unionport Rd Apt 2A","Bronx, NY 10462","1594 Unionport Rd Apt 2A, Bronx, NY 10462","New York","Bronx County","The Bronx",Parkchester,1594,"1594 Unionport Rd #2a, Bronx, NY 10462, USA",40.8391003,-73.8566691
"Brokered by Real Broker LLC",Pending,1390000,4,1992,"1429 Avenue H","Brooklyn, NY 11230","1429 Avenue H, Brooklyn, NY 11230","United States","New York","Kings County",Brooklyn,"Avenue H","1429 Avenue H, Brooklyn, NY 11230, USA",40.6302066,-73.962272
"Brokered by Douglas Elliman - 575 Madison Ave","House for sale",950000,1,2180,"310 E 46th St Apt 17H","New York, NY 10017","310 E 46th St Apt 17H, New York, NY 10017","New York","New York County","New York",Manhattan,310,"310 E 46th St #17h, New York, NY 10017, USA",40.751918,-73.9698335
"Brokered by TALK OF THE TOWN REALTY C","House for sale",699000,3,2835,"4716 Avenue H","Brooklyn, NY 11234","4716 Avenue H, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue H","4716 Avenue H, Brooklyn, NY 11234, USA",40.6324811,-73.9306778
"Brokered by Coldwell Banker Reliable","Condo for sale",450000,1,724,"2120 Ocean Ave Apt 5B","Brooklyn, NY 11229","2120 Ocean Ave Apt 5B, Brooklyn, NY 11229","New York","Kings County",Brooklyn,Homecrest,2120,"2120 Ocean Ave #5b, Brooklyn, NY 11229, USA",40.610069,-73.9537478
"Brokered by RELIABLE SELL & BUY REALTY INC","House for sale",1190000,2,1500,"2330 E 15th St","Brooklyn, NY 11229","2330 E 15th St, Brooklyn, NY 11229","United States","New York","Kings County",Brooklyn,"East 15th Street","2330 E 15th St, Brooklyn, NY 11229, USA",40.5935138,-73.9556712
"Brokered by COMPASS","Co-op for sale",2995000,2,2183,"10 Park Ave Ph 25A","Manhattan, NY 10016","10 Park Ave Ph 25A, Manhattan, NY 10016","New York","New York County","New York",Manhattan,10,"10 Park Ave # 25e, New York, NY 10016, USA",40.7474421,-73.9813221
"Brokered by Keller Williams Realty Greater Nassau","Condo for sale",349980,1,2171,"150-38 Union Tpke Unit 8L","Flushing, NY 11367","150-38 Union Tpke Unit 8L, Flushing, NY 11367","New York","Queens County",Queens,Flushing,150-38,"150-38 Union Tpke #8c, Flushing, NY 11367, USA",40.7187728,-73.811168
"Brokered by Homes R Us Realty of NY, Inc.",Contingent,339000,1,693,"4219 Amboy Rd Unit 4A","Staten Island, NY 10308","4219 Amboy Rd Unit 4A, Staten Island, NY 10308","New York","Richmond County","Staten Island","Great Kills",4219,"4219 Amboy Rd #4a, Staten Island, NY 10308, USA",40.5475295,-74.1568654
"Brokered by Panache Realty Co","House for sale",649000,2,1257,"287 E 34th St","Brooklyn, NY 11203","287 E 34th St, Brooklyn, NY 11203","United States","New York","Kings County",Brooklyn,"East 34th Street","287 E 34th St, Brooklyn, NY 11203, USA",40.6499215,-73.9453734
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",4695000,4,2600,"1100 Park Ave # 11C","New York, NY 10128","1100 Park Ave # 11C, New York, NY 10128","New York","New York County","New York",Manhattan,1100,"1100 Park Ave #11c, New York, NY 10128, USA",40.7824395,-73.9561648
"Brokered by TALK OF THE TOWN REALTY C","House for sale",699000,3,2835,"4716 Avenue H","Brooklyn, NY 11234","4716 Avenue H, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Avenue H","4716 Avenue H, Brooklyn, NY 11234, USA",40.6324811,-73.9306778
"Brokered by CENTURY 21 Zaloom Realty",Pending,1199900,4,2393,"251 Wilson Ave","Staten Island, NY 10308","251 Wilson Ave, Staten Island, NY 10308","United States","New York","Richmond County","Staten Island","Wilson Avenue","251 Wilson Ave, Staten Island, NY 10308, USA",40.5477774,-74.160225
"Brokered by COMPASS","Condo for sale",1395000,4,2472,"52 Convent Ave Unit 1C","Manhattan, NY 10027","52 Convent Ave Unit 1C, Manhattan, NY 10027","New York","New York County","New York",Manhattan,52,"52 Convent Ave #1c, New York, NY 10027, USA",40.8150812,-73.9533178
"Brokered by TREE OF LIFE REALTY & MANAGEMENT LLC","House for sale",2759000,6,2208,"163 Whitman Dr","Brooklyn, NY 11234","163 Whitman Dr, Brooklyn, NY 11234","United States","New York","Kings County",Brooklyn,"Whitman Drive","163 Whitman Dr, Brooklyn, NY 11234, USA",40.6093711,-73.9025693
"Brokered by Brown Harris Stevens W Hampton","Co-op for sale",399000,1,2193,"102-10 66th Rd Unit 14A","Forest Hills, NY 11375","102-10 66th Rd Unit 14A, Forest Hills, NY 11375","New York","Queens County",Queens,Flushing,102-10,"102-10 66th Rd #14a, Flushing, NY 11375, USA",40.7282586,-73.8513251
"Brokered by Douglas Elliman  -111 Fifth Ave","Multi-family home for sale",16995000,4,4230,"31 Grove St","New York, NY 10014","31 Grove St, New York, NY 10014","United States","New York","New York County","New York","Grove Street","31 Grove St, New York, NY 10014, USA",40.7328257,-74.0048853
"Brokered by Corcoran Chelsea/Flatiron","Co-op for sale",650000,1,1060,"860 W 181st St Apt 56","New York, NY 10033","860 W 181st St Apt 56, New York, NY 10033","New York","New York County","New York",Manhattan,860,"860 W 181st St Apt 56, New York, NY 10033, USA",40.8511616,-73.9408472
"Brokered by COMPASS","Townhouse for sale",1195000,2,2625,"449 Classon Ave","Brooklyn, NY 11238","449 Classon Ave, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Classon Avenue","449 Classon Ave, Brooklyn, NY 11238, USA",40.685396,-73.959061
"Brokered by New York Realty Minimax","Multi-family home for sale",1999999,6,2179,"726 Metropolitan Ave Unit 6","Brooklyn, NY 11211","726 Metropolitan Ave Unit 6, Brooklyn, NY 11211","New York","Kings County",Brooklyn,Williamsburg,726,"726 Metropolitan Ave #6b, Brooklyn, NY 11211, USA",40.7142948,-73.9448148
"Brokered by Douglas Elliman  -111 Fifth Ave","Multi-family home for sale",16995000,4,4230,"31 Grove St","New York, NY 10014","31 Grove St, New York, NY 10014","United States","New York","New York County","New York","Grove Street","31 Grove St, New York, NY 10014, USA",40.7328257,-74.0048853
"Brokered by COMPASS","Townhouse for sale",10750000,2.5,7327,"141 E 63rd St","Manhattan, NY 10065","141 E 63rd St, Manhattan, NY 10065","United States","New York","New York County","New York","East 63rd Street","141 E 63rd St, New York, NY 10065, USA",40.764757,-73.965815
"Brokered by COMPASS","Co-op for sale",650000,1,2193,"165 E 60th St Apt 5C","Manhattan, NY 10022","165 E 60th St Apt 5C, Manhattan, NY 10022","New York","New York County","New York",Manhattan,165,"165 E 60th St #5c, New York, NY 10065, USA",40.762566,-73.9667017
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",4800000,4,3475,"61 E 82nd St Apt 1A","New York, NY 10028","61 E 82nd St Apt 1A, New York, NY 10028","New York","New York County","New York",Manhattan,61,"61 E 82nd St #1a, New York, NY 10028, USA",40.778129,-73.9598269
"Brokered by Douglas Elliman - 2112 Frederick Douglass Blvd","Multi-family home for sale",1279900,2.5,3812,"51 E 126th St","New York, NY 10035","51 E 126th St, New York, NY 10035","United States","New York","New York County","New York","East 126th Street","51 E 126th St, New York, NY 10035, USA",40.8062253,-73.9393116
"Brokered by RE MAX 1st Choice","Multi-family home for sale",1680000,4,3780,"214-03 16 Ave","Bayside, NY 11360","214-03 16 Ave, Bayside, NY 11360","United States","New York","Queens County",Queens,"16th Avenue","214-03 16th Ave, Flushing, NY 11360, USA",40.785705,-73.778612
"Brokered by Chous Realty Group Inc","Co-op for sale",299000,1,850,"68-09 138th St Unit 2B","Flushing, NY 11367","68-09 138th St Unit 2B, Flushing, NY 11367","New York","Queens County",Queens,Flushing,68-09,"68-09 138th St #2b, Flushing, NY 11367, USA",40.7313319,-73.8284665
"Brokered by Corcoran West Side","Co-op for sale",415000,1,2185,"233 E 70th St Apt 6R","New York, NY 10021","233 E 70th St Apt 6R, New York, NY 10021","New York","New York County","New York",Manhattan,233,"233 E 70th St #6r, New York, NY 10021, USA",40.7678195,-73.9594251
"Brokered by COMPASS","Condo for sale",1250000,2,1287,"365 Bridge St Apt 8J","Brooklyn, NY 11201","365 Bridge St Apt 8J, Brooklyn, NY 11201","New York","Kings County",Brooklyn,"Downtown Brooklyn",365,"365 Bridge St #8j, Brooklyn, NY 11201, USA",40.6925905,-73.9849373
"Brokered by Corcoran Bedford Stuyvesant","Townhouse for sale",4395000,4,2163,"425 Pacific St","Brooklyn, NY 11217","425 Pacific St, Brooklyn, NY 11217","United States","New York","Kings County",Brooklyn,"Pacific Street","425 Pacific St, Brooklyn, NY 11217, USA",40.6859683,-73.9839494
"Brokered by COMPASS","Co-op for sale",499000,1,900,"7901 4th Ave Apt E22","Brooklyn, NY 11209","7901 4th Ave Apt E22, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Bay Ridge",7901,"7901 4th Ave #22, Brooklyn, NY 11209, USA",40.6273371,-74.0262024
"Brokered by Dawning Real Estate, Inc.","House for sale",699000,2,1700,"752 Correll Ave","Staten Island, NY 10309","752 Correll Ave, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Correll Avenue","752 Correll Ave, Staten Island, NY 10309, USA",40.545028,-74.218133
"Brokered by THE BOX ADVISORY LLC","Condo for sale",625000,2,1268,"762 Empire Blvd Apt 4D","Brooklyn, NY 11213","762 Empire Blvd Apt 4D, Brooklyn, NY 11213","New York","Kings County",Brooklyn,"Little Caribbean",762,"762 Empire Blvd #4d, Brooklyn, NY 11213, USA",40.6634769,-73.936924
"Brokered by City Realty Group","House for sale",749000,2,2172,"31-10 95th St","East Elmhurst, NY 11369","31-10 95th St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"95th Street","31-10 95th St, Flushing, NY 11369, USA",40.7602045,-73.8739584
"Brokered by American Homes Group","Multi-family home for sale",949000,2,1600,"154 E 22nd St","Brooklyn, NY 11226","154 E 22nd St, Brooklyn, NY 11226","United States","New York","Kings County",Brooklyn,"East 22nd Street","154 E 22nd St, Brooklyn, NY 11226, USA",40.6452346,-73.9569371
"Brokered by Brown Harris Stevens","Townhouse for sale",2395000,4,3972,"438 W 162nd St Unit Townhouse","Manhattan, NY 10032","438 W 162nd St Unit Townhouse, Manhattan, NY 10032","United States","New York","New York County","New York","West 162nd Street","438 W 162nd St, New York, NY 10032, USA",40.8351954,-73.9390016
"Brokered by City Realty Group","House for sale",749000,2,2188,"31-10 95th St","East Elmhurst, NY 11369","31-10 95th St, East Elmhurst, NY 11369","United States","New York","Queens County",Queens,"95th Street","31-10 95th St, Flushing, NY 11369, USA",40.7602045,-73.8739584
"Brokered by Brown Harris Stevens","Co-op for sale",205000,1,2193,"2750 Johnson Ave Apt 5C","Bronx, NY 10463","2750 Johnson Ave Apt 5C, Bronx, NY 10463","New York","Bronx County","The Bronx","Spuyten Duyvil",2750,"2750 Johnson Ave #5c, Bronx, NY 10463, USA",40.8801731,-73.91173
